,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring O3 1,","{'Mean': 2101.1499505933357, 'Std': 125.30483542257247}","{'Mean': 2025.2242132641768, 'Std': 172.20746856276457}","{'Mean': 2010.0367036145924, 'Std': 220.33537999663415}","{'Mean': 2060.576625435311, 'Std': 158.30275215746138}"
"measuring O3 2,","{'Mean': 1906.955947617396, 'Std': 114.09661712546661}","{'Mean': 1917.8713659708676, 'Std': 146.7881410170492}","{'Mean': 1900.9150909811733, 'Std': 118.69987205934123}","{'Mean': 1930.2897485837136, 'Std': 105.89477563623274}"
"measuring CO,measuring O3 1,","{'Mean': 2107.8635990532907, 'Std': 158.3958472364848}","{'Mean': 2098.3217666712117, 'Std': 137.62800720956795}","{'Mean': 2095.639672952317, 'Std': 171.7921548779084}","{'Mean': 2112.1972424328383, 'Std': 119.55050300336336}"
"measuring CO,measuring O3 2,","{'Mean': 2031.9267835763428, 'Std': 138.23373534421788}","{'Mean': 1959.8305865161917, 'Std': 124.88627211675498}","{'Mean': 2090.7833675988963, 'Std': 173.5677272123918}","{'Mean': 2022.436535021261, 'Std': 133.5976765034352}"
"measuring NO2,measuring O3 1,","{'Mean': 2095.86212701302, 'Std': 133.2817930768405}","{'Mean': 2032.5335591902142, 'Std': 172.6302313080984}","{'Mean': 2050.3962459951804, 'Std': 195.1214121975389}","{'Mean': 2066.849385438296, 'Std': 152.66638936402802}"
"measuring NO2,measuring O3 2,","{'Mean': 1901.5913196212016, 'Std': 115.40423185503697}","{'Mean': 1924.9224044251478, 'Std': 147.82744162459}","{'Mean': 1888.420241053269, 'Std': 124.26149319586156}","{'Mean': 1916.9328389038656, 'Std': 102.76201933819681}"
"measuring O3 1,measuring O3 2,","{'Mean': 1860.4125110655787, 'Std': 136.01798699016086}","{'Mean': 1903.4722047113817, 'Std': 144.2164364590842}","{'Mean': 1911.8901340344207, 'Std': 128.18173374847308}","{'Mean': 1879.0743416477271, 'Std': 123.98288732828911}"
"measuring O3 1,measuring PM10,","{'Mean': 2097.691702593776, 'Std': 138.50279846228193}","{'Mean': 2030.6192774115436, 'Std': 173.95458922162157}","{'Mean': 2074.4251262848725, 'Std': 158.13484830911165}","{'Mean': 2113.598988126267, 'Std': 125.71938896711947}"
"measuring O3 1,temperature,","{'Mean': 1737.8486503790862, 'Std': 135.3786289374134}","{'Mean': 1825.5846163051035, 'Std': 129.12350845434585}","{'Mean': 1784.8131150442077, 'Std': 139.9718331547215}","{'Mean': 1781.3070388947028, 'Std': 124.91922111199762}"
"measuring O3 2,measuring PM10,","{'Mean': 1926.9596521989963, 'Std': 147.59444400775666}","{'Mean': 1910.4100297414986, 'Std': 149.7738253398236}","{'Mean': 1905.9322123165446, 'Std': 155.4300329408015}","{'Mean': 1918.7051374894427, 'Std': 107.01143875474888}"
"measuring O3 2,temperature,","{'Mean': 1900.8213143922285, 'Std': 187.55743923213223}","{'Mean': 1865.1666695321865, 'Std': 131.06414185675996}","{'Mean': 1830.949525986837, 'Std': 152.01158433805023}","{'Mean': 1807.3494683085828, 'Std': 125.43855259818915}"
